"","SiteName","Urban","PlotID","CONg"
"1","Barlow","rural",1,17
"2","Marquam","urban",1,0
"3","Tryon","urban",1,0
"4","Wildwood","rural",1,0
"5","Barlow","rural",2,3
"6","Riverview","urban",2,0
"7","Barlow","rural",3,5
"8","ForestPark","urban",3,0
"9","McIver","rural",3,5
"10","Wildwood","rural",3,0
"11","Barlow","rural",4,0
"12","Marquam","urban",4,0
"13","Riverview","urban",4,0
"14","Riverview","urban",4,1
"15","Marquam","urban",5,1
"16","McIver","rural",5,1
"17","Riverview","urban",5,0
"18","Marquam","urban",6,0
"19","Riverview","urban",6,0
"20","Barlow","rural",7,2
"21","Lacamas","urban",7,0
"22","Riverview","urban",7,0
"23","ForestPark","urban",8,0
"24","Lacamas","urban",8,0
"25","Tryon","urban",8,0
"26","Barlow","rural",10,0
"27","Lacamas","urban",10,0
"28","Marquam","urban",10,0
"29","Oxbow","rural",10,0
"30","Oxbow","rural",11,0
"31","Barlow","rural",11,5
"32","ForestPark","urban",11,2
"33","Marquam","urban",11,0
"34","Riverview","urban",11,0
"35","ForestPark","urban",12,0
"36","Lacamas","urban",12,0
"37","McIver","rural",12,5
"38","Oxbow","rural",12,1
"39","Barlow","rural",13,0
"40","ForestPark","urban",13,0
"41","Lacamas","urban",13,0
"42","Tryon","urban",13,0
"43","Barlow","rural",14,0
"44","ForestPark","urban",14,0
"45","Lacamas","urban",14,3
"46","Marquam","urban",14,0
"47","ForestPark","urban",15,0
"48","ForestPark","urban",15,4
"49","McIver","rural",15,2
"50","Riverview","urban",15,6
"51","Tryon","urban",15,0
"52","Barlow","rural",16,0
"53","Tryon","urban",16,0
"54","Lacamas","urban",17,0
"55","McIver","rural",18,1
"56","Oxbow","rural",18,2
"57","Riverview","urban",18,0
"58","Tryon","urban",18,0
"59","Wildwood","rural",18,1
"60","ForestPark","urban",19,0
"61","Barlow","rural",20,1
"62","Lacamas","urban",20,0
"63","McIver","rural",20,0
"64","Riverview","urban",20,0
"65","Riverview","urban",20,1
"66","Lacamas","urban",21,0
"67","Riverview","urban",21,1
"68","Tryon","urban",21,0
"69","Marquam","urban",22,0
"70","Tryon","urban",23,0
"71","Wildwood","rural",23,0
"72","Barlow","rural",24,9
"73","ForestPark","urban",24,0
"74","Riverview","urban",24,0
"75","Wildwood","rural",24,10
"76","Barlow","rural",25,11
"77","Marquam","urban",25,0
"78","Riverview","urban",25,2
"79","McIver","rural",26,2
"80","Sandy","rural",26,0
"81","Barlow","rural",27,0
"82","Tryon","urban",27,2
"83","Oxbow","rural",28,1
"84","Tryon","urban",28,0
"85","Lacamas","urban",29,0
"86","Oxbow","rural",29,1
"87","Tryon","urban",29,0
"88","Barlow","rural",30,1
"89","ForestPark","urban",30,0
"90","Riverview","urban",30,2
"91","Tryon","urban",30,0
"92","Marquam","urban",31,0
"93","McIver","rural",31,3
"94","Tryon","urban",31,1
"95","Marquam","urban",32,0
"96","Oxbow","rural",32,0
"97","Lacamas","urban",35,0
"98","Marquam","urban",35,0
"99","Oxbow","rural",35,0
"100","Wildwood","rural",35,2
"101","ForestPark","urban",36,8
"102","Tryon","urban",36,0
"103","Wildwood","rural",37,0
"104","Oxbow","rural",38,0
"105","Lacamas","urban",39,0
"106","ForestPark","urban",40,0
"107","Oxbow","rural",40,1
"108","Tryon","urban",40,0
"109","Wildwood","rural",40,7
"110","McIver","rural",41,12
"111","Lacamas","urban",43,1
"112","Oxbow","rural",43,0
"113","ForestPark","urban",45,3
"114","Oxbow","rural",45,1
"115","Oxbow","rural",46,1
"116","Lacamas","urban",47,0
"117","Marquam","urban",47,0
"118","Oxbow","rural",47,12
"119","Marquam","urban",48,0
"120","Oxbow","rural",48,4
"121","Sandy","rural",48,0
"122","ForestPark","urban",49,0
"123","Lacamas","urban",50,0
"124","Marquam","urban",50,0
"125","McIver","rural",51,11
"126","Sandy","rural",53,0
"127","McIver","rural",56,0
"128","McIver","rural",57,4
"129","McIver","rural",61,0
"130","Wildwood","rural",61,0
"131","McIver","rural",63,1
"132","Wildwood","rural",67,0
"133","Wildwood","rural",69,0
"134","Wildwood","rural",74,0
"135","McIver","rural",75,5
"136","Sandy","rural",80,0
"137","Sandy","rural",82,3
"138","Sandy","rural",83,0
"139","Wildwood","rural",83,0
"140","Wildwood","rural",87,2
"141","Wildwood","rural",88,0
"142","Sandy","rural",95,0
"143","Sandy","rural",111,0
"144","Sandy","rural",122,0
"145","Sandy","rural",128,0
"146","Sandy","rural",136,0
"147","Sandy","rural",141,0
"148","Sandy","rural",159,2
"149","Sandy","rural",176,0
"150","Sandy","rural",181,0
