ID,SiteName,Urban,a
B010,Barlow,rural,17
B011,Barlow,rural,8
B013,Barlow,rural,14
B09,Barlow,rural,38
B14,Barlow,rural,20
B42,Barlow,rural,5
F43,ForestPark,urban,1
F44,ForestPark,urban,1
F45,ForestPark,urban,0
F47,ForestPark,urban,2
F48,ForestPark,urban,3
F49,ForestPark,urban,3
L12,Lacamas,urban,4
L22,Lacamas,urban,3
L33,Lacamas,urban,5
L41,Lacamas,urban,1
L5,Lacamas,urban,5
L7,Lacamas,urban,1
MA029,Marquam,urban,0
MA031,Marquam,urban,3
MA30,Marquam,urban,0
MA32,Marquam,urban,0
MA33,Marquam,urban,0
MA35,Marquam,urban,0
MC023,McIver,rural,2
MC024,McIver,rural,16
MC026,McIver,rural,11
MC027,McIver,rural,19
MC078,McIver,rural,4
MC22,McIver,rural,1
O037,Oxbow,rural,5
O038,Oxbow,rural,1
O038,Oxbow,rural,1
O040,Oxbow,rural,0
O041,Oxbow,rural,1
O042,Oxbow,rural,2
R10,Riverview,urban,0
R11,Riverview,urban,1
R28,Riverview,urban,13
R5,Riverview,urban,6
R6,Riverview,urban,0
R7,Riverview,urban,12
S15,Sandy,rural,11
S16,Sandy,rural,12
S17,Sandy,rural,6
S18,Sandy,rural,12
S19,Sandy,rural,18
S20,Sandy,rural,23
T13,Tryon,urban,0
T15,Tryon,urban,1
T20,Tryon,urban,2
T27,Tryon,urban,1
T37,Tryon,urban,1
T40,Tryon,urban,0
W2,Wildwood,rural,15
W3,Wildwood,rural,9
W4,Wildwood,rural,4
W5,Wildwood,rural,16
W6,Wildwood,rural,7
W8,Wildwood,rural,16
